obs_names,subclus,leiden_recl
Foster_2024.SMM8_neg:4587,Invar,1
Foster_2024.SMM8_neg:4651,Invar,1
Foster_2024.SMM8_neg:4670,Invar,1
Foster_2024.SMM8_neg:4776,Invar,1
Foster_2024.SMM8_neg:4874,Invar,1
Foster_2024.SMM8_neg:4930,Invar,1
Foster_2024.SMM8_neg:5057,Invar,2
Foster_2024.SMM8_neg:5084,Invar,1
Foster_2024.SMM8_neg:5126,Invar,1
Foster_2024.SMM8_neg:5146,Invar,1
Foster_2024.SMM8_neg:5167,Invar,0
Foster_2024.SMM6_pos:201,Invar,1
Foster_2024.SMM6_pos:203,Invar,1
Foster_2024.SMM6_pos:206,Invar,0
Foster_2024.SMM6_pos:266,Invar,0
Foster_2024.SMM6_pos:301,Invar,0
Foster_2024.SMM6_pos:464,Invar,0
Foster_2024.SMM6_pos:528,Invar,0
Foster_2024.SMM6_pos:563,Invar,0
Foster_2024.SMM6_pos:582,Invar,2
Foster_2024.SMM6_pos:772,Invar,1
Foster_2024.SMM6_pos:782,Invar,0
Foster_2024.SMM6_pos:916,Invar,1
Foster_2024.SMM6_pos:982,Invar,1
Foster_2024.SMM6_pos:1051,Invar,1
Foster_2024.SMM6_pos:1129,Invar,1
Foster_2024.SMM6_pos:1319,Invar,0
Foster_2024.SMM6_pos:1336,Invar,0
Foster_2024.SMM6_pos:1345,Invar,0
Foster_2024.SMM6_pos:1379,Invar,1
Foster_2024.SMM6_pos:1490,Invar,0
Foster_2024.SMM6_pos:1683,Invar,0
Foster_2024.SMM6_pos:1697,Invar,0
Foster_2024.SMM6_pos:1719,Invar,0
Foster_2024.SMM6_pos:1749,Invar,0
Foster_2024.SMM6_pos:1757,Invar,0
Foster_2024.SMM6_pos:1868,Invar,1
Foster_2024.SMM6_pos:1923,Invar,0
Foster_2024.SMM6_pos:2143,Invar,0
Foster_2024.SMM6_pos:2205,Invar,1
Foster_2024.SMM6_pos:2301,Invar,1
Foster_2024.SMM6_pos:2400,Invar,1
Foster_2024.SMM6_pos:2529,Invar,1
