pathway,pathway_neat,gene
MP10 Protein maturation,Protein maturation,HLA-A
MP10 Protein maturation,Protein maturation,ITM2B
MP10 Protein maturation,Protein maturation,LRPAP1
MP10 Protein maturation,Protein maturation,NEAT1
MP10 Protein maturation,Protein maturation,PSAP
MP10 Protein maturation,Protein maturation,SIL1
MP10 Protein maturation,Protein maturation,SLC3A2
MP10 Protein maturation,Protein maturation,TIMP1
MP10 Protein maturation,Protein maturation,APMAP
MP10 Protein maturation,Protein maturation,APP
MP10 Protein maturation,Protein maturation,CTSL
MP10 Protein maturation,Protein maturation,LAMP2
MP10 Protein maturation,Protein maturation,LMAN2
MP10 Protein maturation,Protein maturation,MAGED2
MP10 Protein maturation,Protein maturation,PIGT
MP10 Protein maturation,Protein maturation,PRDX4
MP10 Protein maturation,Protein maturation,SERPINE2
MP10 Protein maturation,Protein maturation,TM9SF2
MP10 Protein maturation,Protein maturation,TSPAN1
MP10 Protein maturation,Protein maturation,ATP6AP1
